koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_num_transits,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag
CONFIRMED,4.280963604,171.89659,0.424,2.875,7.51E+02,0.025377,1.24482,2.3,0.0503,87.72,311,5644,4.564,-0.14,0.831,0.928,15.356,15.926,15.314,15.112,15.033,14.121,13.756,13.769
FALSE POSITIVE,1.50635409,170.998064,0.86,1.5155,2.21E+03,0.049899,0.84722,4.53,0.025,79.38,882,5714,4.563,-0.2,0.831,0.926,15.525,16.051,15.474,15.299,15.23,14.266,13.905,13.821
FALSE POSITIVE,670.645531,209.04355,0.701,53.412,1.81E+04,0.131705,0.02605,14.14,1.5155,89.53,3,5520,4.466,0.48,0.983,1.03,15.207,15.533,14.917,15.068,14.96,13.678,13.317,13.254
FALSE POSITIVE,61.2563628,173.83826,1.248,7.633,5.12E+03,0.334628,0.12411,39.87,0.3137,87.54,13,6144,4.402,0,1.091,1.093,15.25,15.689,15.199,15.062,15.033,14.203,13.851,13.848
CONFIRMED,38.3775486,172.82048,0.468,5.588,7.24E+02,0.024901,1.40588,2.82,0.2163,89.44,37,5481,4.369,0.16,1.036,0.915,15.172,15.654,15.089,14.965,14.874,13.962,13.639,13.497
CONFIRMED,41.19725502,165.00404,0.045,4.6297,2.21E+03,0.041693,3.9471,3.86,0.217,89.96,26,5031,4.485,0.16,0.848,0.801,15.841,16.559,15.77,15.534,15.368,14.363,13.868,13.785
CONFIRMED,6.252962249,171.30126,0.105,2.5819,1.04E+03,0.028604,3.28707,2.65,0.0617,89.68,167,5031,4.485,0.16,0.848,0.801,15.841,16.559,15.77,15.534,15.368,14.363,13.868,13.785
CONFIRMED,16.01308419,176.3608,0.799,3.2554,1.12E+03,0.034369,1.10942,3.1,0.1148,88.14,65,5015,4.499,0.1,0.826,0.785,15.39,16.223,15.342,15.033,14.903,13.855,13.323,13.214
CONFIRMED,32.62876672,194.1019,0.021,4.7971,1.80E+03,0.03852,2.79093,3.36,0.1889,89.98,34,5586,4.56,-0.3,0.798,0.844,15.082,15.64,15.04,14.842,14.765,13.824,13.37,13.299
CONFIRMED,91.7732862,193.8378,0.606,6.473,6.52E+02,0.02432,1.60558,2.12,0.3764,89.61,11,5586,4.56,-0.3,0.798,0.844,15.082,15.64,15.04,14.842,14.765,13.824,13.37,13.299
