koi_disposition,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_ror,koi_srho,koi_prad,koi_sma,koi_incl,koi_num_transits,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag
CONFIRMED,8.91901228,140.0777,0.619,4.141,1.81E+02,0.012857,0.54873,1.84,0.0835,87.32,150,5862,4.194,-0.1,1.307,0.973,13.959,14.389,13.913,13.776,13.717,12.804,12.569,12.516
CONFIRMED,4.5620407,132.64295,0.925,2.8521,8.16E+01,0.010314,0.11805,2.82,0.0592,79.48,287,5343,3.764,0.08,2.506,1.33,13.052,13.648,12.993,12.796,12.691,11.78,11.387,11.279
CANDIDATE,7.5966998,131.95296,0.725,3.667,1.28E+02,0.011117,0.45848,1.32,0.0746,86.28,176,5716,4.343,0.04,1.091,0.955,13.482,13.921,13.417,13.293,13.236,12.32,12.006,11.982
FALSE POSITIVE,2.392630668,133.7861,0.909,1.3705,1.02E+02,0.011196,0.70358,1.33,0.0345,81.24,564,5716,4.343,0.04,1.091,0.955,13.482,13.921,13.417,13.293,13.236,12.32,12.006,11.982
CONFIRMED,17.6700291,131.60103,0.932,6.693,3.48E+02,0.021247,0.037,2.89,0.1348,83.69,61,5795,4.265,0.16,1.247,1.042,14.874,15.364,14.826,14.664,14.606,13.694,13.31,13.243
CONFIRMED,108.593113,173.75198,0.007,7.989,3.38E+02,0.016727,1.88819,1.68,0.4126,90,12,5678,4.409,-0.4,0.921,0.794,14.033,14.429,13.992,13.864,13.828,12.966,12.631,12.534
CONFIRMED,19.9865916,135.52265,0.962,4.391,6.48E+02,0.031224,0.1037,4.22,0.1404,85.75,68,5500,4.218,0.14,1.238,0.922,15.699,16.194,15.65,15.486,15.422,14.536,14.092,14.081
CONFIRMED,12.12580644,142.10763,0.805,3.289,3.28E+02,0.018511,0.69986,2.5,0.1007,87.38,105,5500,4.218,0.14,1.238,0.922,15.699,16.194,15.65,15.486,15.422,14.536,14.092,14.081
CONFIRMED,76.421501,164.4879,0.015,7.218,5.78E+02,0.021656,1.82753,2.81,0.3462,89.99,19,5561,4.263,0.16,1.19,0.946,15.165,15.628,15.116,14.967,14.898,14.02,13.617,13.606
CONFIRMED,56.2590881,164.21993,0.026,8.114,3.49E+02,0.017091,0.93373,2.22,0.287,89.97,22,6038,4.284,-0.16,1.191,0.995,14.247,14.667,14.202,14.067,14.032,13.173,12.887,12.826
CONFIRMED,1.646801683,132.0615,0.129,1.1966,2.84E+02,0.01543,8.32289,0.86,0.0223,89.3,807,3810,4.753,-0.02,0.513,0.543,14.634,16.026,14.671,14.037,13.703,12.495,11.821,11.683
CONFIRMED,3.78861833,134.61419,0.183,2.808,1.43E+02,0.010833,1.42473,1.23,0.0467,88.98,285,5560,4.379,0.16,1.04,0.943,14.285,14.811,14.225,14.06,13.998,13.066,12.77,12.675
CONFIRMED,10.45839865,137.65416,0.009,3.154,3.07E+02,0.015375,2.94604,1.25,0.0845,89.98,103,4641,4.557,0.16,0.747,0.734,14.471,15.365,14.435,14.087,13.95,12.862,12.295,12.212
CONFIRMED,21.1033014,144.66035,0.125,2.059,1.93E+02,0.012695,20.69866,1.56,0.1528,89.91,62,6000,4.363,0.06,1.126,1.068,13.355,13.662,13.307,13.224,13.221,12.367,12.121,12.079
CONFIRMED,95.6114617,138.35664,0.046,7.489,4.87E+02,0.020097,2.03186,2.37,0.4267,89.97,14,6002,4.424,0.2,1.081,1.135,14.71,15.12,14.662,14.533,14.466,13.631,13.392,13.409
CANDIDATE,1.204686597,131.90556,0.328,0.823,2.33E+02,0.014218,16.22238,1.55,0.0222,88.25,1108,5780,4.438,0,1,1,11.671,12.544,11.63,11.293,,15.576,12.698,14.532
CONFIRMED,11.8984948,133.34685,0.836,3.015,1.31E+02,0.011851,0.68051,1.69,0.1012,87.21,89,5862,4.194,-0.1,1.307,0.973,13.959,14.389,13.913,13.776,13.717,12.804,12.569,12.516
CONFIRMED,23.1274171,145.66194,0.737,4.901,1.57E+02,0.012395,0.55453,1.44,0.1602,88.31,54,5865,4.393,0.07,1.066,1.024,11.863,12.178,11.765,11.727,11.627,10.779,10.478,10.476
CONFIRMED,5.132486123,132.15985,0.217,1.4575,9.08E+02,0.026773,14.13898,1.69,0.0497,89.54,217,3879,4.707,0.32,0.578,0.619,15.535,17.062,15.756,14.88,14.471,13.255,12.627,12.386
CONFIRMED,8.77997349,138.48383,0.481,3.2201,7.56E+02,0.025421,1.65118,2.12,0.0787,88.54,156,5191,4.597,-0.06,0.764,0.85,15.789,16.514,15.726,15.479,15.321,14.401,13.877,13.877
CONFIRMED,57.6896212,139.92753,0.924,5.118,1.63E+03,0.044886,0.42264,5.14,0.3025,88.74,20,6228,4.441,-0.08,1.049,1.107,15.886,16.351,15.838,15.687,15.621,14.736,14.43,14.487
CONFIRMED,10.66489514,132.00872,0.308,3.159,2.93E+02,0.015773,2.59019,1.76,0.0961,89.29,125,6014,4.436,-0.04,1.021,1.037,14.651,15.141,14.609,14.44,14.409,13.484,13.155,13.145
CONFIRMED,5.1233204,132.08472,0.308,2.7466,2.86E+02,0.015347,1.89424,1.65,0.0556,88.72,255,5364,4.394,0.14,0.982,0.872,15.162,15.718,15.109,14.924,14.82,13.861,13.507,13.463
CONFIRMED,3.573202801,134.934397,0.053,2.88,2.98E+03,0.049237,1.45984,5.81,0.0457,89.69,378,5646,4.37,0.22,1.08,0.996,14.72,15.326,14.624,14.461,14.4,13.6,13.287,13.21
CONFIRMED,61.6174528,179.08282,0.091,3.816,1.35E+03,0.033006,10.19029,3.36,0.302,89.96,14,5480,4.485,0.24,0.931,0.966,15.722,16.351,15.659,15.453,15.347,14.383,14.012,13.896
CONFIRMED,24.3398202,136.05813,0.928,3.891,7.77E+02,0.031817,0.3189,5.09,0.1644,87.53,47,5596,4.105,0.14,1.466,0.998,15.28,15.738,15.256,15.084,15.01,14.173,13.804,13.783
CONFIRMED,7.16520428,132.96921,0.142,1.705,4.34E+02,0.019138,12.53756,2.31,0.0765,89.75,181,6174,4.417,0.1,1.103,1.162,15.302,15.822,15.265,15.079,15.009,14.108,13.847,13.719
CONFIRMED,1.755843555,133.15509,0.893,1.9425,3.86E+02,0.021444,0.27533,1.94,0.0277,75.45,765,5569,4.566,-0.08,0.829,0.928,15.758,16.336,15.697,15.51,15.403,14.46,14.071,14.029
CONFIRMED,5.18560081,132.32455,0.012,4.054,2.53E+02,0.014547,0.68894,2.34,0.0631,89.93,261,6172,4.198,0.16,1.471,1.25,14.806,15.245,14.76,14.618,14.575,13.706,13.417,13.348
CONFIRMED,33.4698571,140.14977,0.876,4.749,3.71E+02,0.020478,0.37871,2.45,0.2006,88.22,43,5912,4.342,-0.14,1.094,0.96,14.74,15.256,14.699,14.518,14.434,13.587,13.254,13.184
CONFIRMED,11.89520436,132.8908,0.067,3.433,1.84E+02,0.012286,2.55701,1.33,0.0994,89.86,113,5649,4.411,0,0.992,0.923,14.152,14.587,14.108,13.965,13.921,13.05,12.752,12.66
CONFIRMED,1.025857984,131.655621,0.779,0.8069,2.71E+02,0.016977,4.73936,1.57,0.0187,83.02,1302,5123,4.501,0.14,0.847,0.828,14.413,15.173,14.357,14.087,13.955,12.891,12.402,12.348
CONFIRMED,5.60013327,135.96495,0.046,2.6508,3.29E+02,0.01622,2.65812,1.73,0.0587,89.84,236,5288,4.391,0.18,0.978,0.858,15.378,15.998,15.324,15.113,15.035,14.081,13.648,13.526
CONFIRMED,25.2034128,137.56393,0.168,4.515,6.97E+02,0.024063,2.38173,2.42,0.1693,89.78,56,5831,4.517,0,0.921,1.016,15.684,16.201,15.629,15.463,15.398,14.493,14.1,13.922
CONFIRMED,1.615357809,132.7846,0.931,1.1435,5.00E+02,0.025766,0.77472,1.37,0.0213,78.69,822,3821,4.755,-0.28,0.486,0.49,15.655,17.067,15.719,15.05,14.713,13.491,12.84,12.674
CONFIRMED,5.640676975,138.556259,0.033,2.8354,1.45E+03,0.034594,2.31253,4.59,0.0627,89.88,242,5794,4.282,0.14,1.216,1.032,14.762,15.203,14.724,14.573,14.52,13.66,13.272,13.34
CONFIRMED,25.5638626,375.27811,0.85,4.685,1.12E+03,0.034909,0.43121,4,0.1758,88.02,42,6228,4.441,-0.08,1.049,1.107,15.886,16.351,15.838,15.687,15.621,14.736,14.43,14.487
CANDIDATE,6.78341325,136.10468,0.665,3.5437,5.01E+02,0.021665,0.60394,20.75,0.0641,86.65,168,5096,2.435,-1.52,8.769,0.763,15.357,15.737,15.314,15.194,15.136,14.305,13.936,13.997
CONFIRMED,12.7945474,130.7668,0.18,3.4197,8.17E+02,0.025596,2.77961,1.6,0.0899,89.64,94,4090,4.696,-0.18,0.571,0.591,14.735,15.714,14.665,14.315,14.1,13.019,12.418,12.307
CONFIRMED,42.4269647,156.17194,0.962,5.907,6.32E+02,0.031124,0.08951,3.44,0.2274,87.3,33,5330,4.366,0.18,1.013,0.869,15.001,15.668,14.956,14.715,14.591,13.596,13.148,13.07
CONFIRMED,1.434745129,132.62802,0.108,1.862,2.01E+02,0.012886,1.94361,1.5,0.0252,88.96,933,5806,4.4,0.16,1.064,1.037,14.691,15.219,14.652,14.464,14.36,13.467,13.09,13.059
CANDIDATE,6.95787,359.007,0.1686,4.537,1.82E+02,0.012454,0.65497,1.39,0.0708,89.38,,6240,4.406,-0.38,1.025,0.975,15.28,15.738,15.256,15.084,15.01,14.173,13.804,13.783
CONFIRMED,3.28192056,132.42485,0.223,2.917,1.91E+02,0.012619,1.0833,1.6,0.0442,88.5,407,5859,4.335,0.16,1.162,1.064,14.842,15.263,14.774,14.662,14.569,13.708,13.385,13.351
CONFIRMED,12.51610549,135.03333,0.023,4.853,2.63E+02,0.014724,0.9654,1.87,0.1078,89.93,101,5859,4.335,0.16,1.162,1.064,14.842,15.263,14.774,14.662,14.569,13.708,13.385,13.351
CONFIRMED,5.45298742,134.15183,0.879,2.1328,8.60E+01,0.010028,0.59143,0.92,0.0595,84.83,245,5450,4.563,0.1,0.842,0.944,12.404,12.944,12.326,12.172,12.092,11.137,10.735,10.662
CONFIRMED,3.26662733,136.08452,0.623,2.056,5.99E+01,0.007398,1.58888,0.68,0.0423,86.3,393,5450,4.563,0.1,0.842,0.944,12.404,12.944,12.326,12.172,12.092,11.137,10.735,10.662
CONFIRMED,4.45743267,132.16006,0.175,2.3226,1.76E+02,0.011751,2.97604,0.79,0.0448,89.31,300,4487,4.644,-0.44,0.612,0.601,14.374,15.346,14.306,13.958,13.773,12.683,12.112,12.015
CONFIRMED,2.81814715,132.25336,0.305,1.763,2.79E+02,0.015134,3.95386,1.3,0.0364,88.52,472,5167,4.555,-0.04,0.787,0.812,15.498,16.163,15.45,15.213,15.092,14.093,13.628,13.643
CANDIDATE,9.4907638,131.50396,0.3638,2.713,1.97E+02,0.012848,3.38734,1.05,0.082,89.38,,5290,4.604,-0.22,0.746,0.821,15.498,16.163,15.45,15.213,15.092,14.093,13.628,13.643
CANDIDATE,0.76196247,132.78371,0.322,1.282,1.90E+02,0.012566,2.78865,1.08,0.0152,85.82,1643,5167,4.555,-0.04,0.787,0.812,15.498,16.163,15.45,15.213,15.092,14.093,13.628,13.643
FALSE POSITIVE,1.824649,147.482662,0.901,4.2285,3.22E+03,0.061323,0.0512,5.31,0.026,64.33,589,6190,4.487,-1.94,0.793,0.704,14.605,15.019,14.582,14.427,14.371,13.51,13.214,13.253
CONFIRMED,2.832647249,131.82642,0.374,2.306,1.15E+02,0.009889,1.62234,1.37,0.0403,87.57,473,5865,4.266,0.16,1.272,1.088,13.467,13.881,13.407,13.29,13.24,12.425,12.09,12.065
CONFIRMED,3.70063251,133.16065,0.71,5.408,6.86E+01,0.008108,0.07759,1.24,0.0455,79.31,362,5423,4.105,0.08,1.404,0.915,13.024,13.626,12.981,12.766,12.659,11.669,11.261,11.171
CONFIRMED,3.93083997,135.19393,0.222,2.932,1.01E+02,0.009264,1.26261,1.2,0.0487,88.74,340,6038,4.284,-0.16,1.191,0.995,13.652,14.047,13.614,13.483,13.464,12.614,12.35,12.289
CONFIRMED,7.63008196,137.07948,0.628,2.78,1.24E+02,0.010695,1.49302,1.39,0.0758,87.84,163,6038,4.284,-0.16,1.191,0.995,13.652,14.047,13.614,13.483,13.464,12.614,12.35,12.289
CONFIRMED,16.22378479,136.02454,0.413,2.5462,2.62E+02,0.014927,6.60457,1.51,0.1212,89.48,85,5547,4.46,0,0.925,0.9,14.129,14.634,14.075,13.912,13.792,12.901,12.543,12.445
CONFIRMED,9.76293284,139.15802,0.499,3.064,5.53E+02,0.021757,2.03307,1.94,0.0821,88.68,137,5052,4.503,0.02,0.816,0.773,15.246,16.04,15.194,14.905,14.769,13.718,13.248,13.031
CONFIRMED,58.601926,137.66825,0.392,5.522,3.96E+02,0.018557,2.4381,2.06,0.2996,89.71,19,6250,4.44,-0.22,1.019,1.038,14.649,15.067,14.594,14.47,14.378,13.499,13.15,13.076
CONFIRMED,25.0823402,134.13568,0.865,6.423,2.45E+02,0.01637,0.12187,2.26,0.1685,86.89,40,6429,4.241,-0.46,1.262,1.011,13.838,14.171,13.806,13.696,13.566,12.807,12.491,12.484
CONFIRMED,78.0998908,139.49646,0.528,8.422,6.57E+02,0.024047,0.74418,3.37,0.3625,89.51,19,5779,4.238,0.16,1.284,1.039,14.999,15.441,14.945,14.81,14.747,13.843,13.538,13.542
CONFIRMED,4.27103727,133.14028,0.02,2.2759,1.80E+02,0.012297,3.17582,1.22,0.0514,89.92,316,5984,4.521,-0.2,0.906,0.993,14.553,15.026,14.499,14.35,14.299,13.332,12.949,12.899
CONFIRMED,4.27226421,133.21863,0.744,2.113,4.89E+01,0.006951,1.2086,0.64,0.0506,85.95,277,5450,4.563,0.1,0.842,0.944,12.404,12.944,12.326,12.172,12.092,11.137,10.735,10.662
CANDIDATE,2.19251903,132.2332,0.616,1.845,1.81E+01,0.004065,1.49345,0.37,0.0324,85.12,524,5450,4.563,0.1,0.842,0.944,12.404,12.944,12.326,12.172,12.092,11.137,10.735,10.662
CONFIRMED,3.53232429,134.74727,0.299,2.765,2.24E+02,0.013699,1.28934,1.43,0.0459,88.19,384,5761,4.492,0.14,0.956,1.035,14.972,15.437,14.908,14.773,14.708,13.794,13.5,13.416
FALSE POSITIVE,15.03946326,144.137461,0.902,5.1008,5.24E+03,0.07857,0.19989,12.36,0.128,86.13,74,6501,4.212,-0.1,1.441,1.236,11.997,12.284,11.939,11.875,11.855,11.014,10.81,10.769
FALSE POSITIVE,4.702495974,136.308468,1.303,2.3421,4.79E+03,0.388365,0.3544,37.24,0.0519,79.93,230,5408,4.476,-0.06,0.878,0.842,14.916,15.567,14.87,14.637,14.512,13.648,13.266,13.249
CONFIRMED,10.44087398,137.97113,0.914,3.743,8.22E+02,0.031855,0.18718,3.41,0.0915,84.89,103,5738,4.426,-0.06,0.981,0.936,15.104,15.684,15.051,14.856,14.726,13.828,13.481,13.405
CANDIDATE,39.7557642,150.60745,1.219,1.958,6.22E+02,0.245914,0.76329,13.72,0.1827,88.25,33,4405,4.732,-1.1,0.511,0.513,15.439,16.409,15.39,15.023,14.8,13.729,13.159,13.038
CANDIDATE,10.27127527,135.17631,0.046,3.029,3.44E+02,0.016888,3.27159,0.94,0.0741,89.9,128,4405,4.732,-1.1,0.511,0.513,15.439,16.409,15.39,15.023,14.8,13.729,13.159,13.038
CONFIRMED,12.5722897,143.0663,0.252,4.765,8.65E+01,0.008561,0.91426,1.09,0.1072,89.27,107,6084,4.319,-0.06,1.169,1.037,12.885,13.185,12.85,12.756,12.752,11.923,11.663,11.639
CONFIRMED,40.8366307,152.87346,0.363,4.956,2.65E+02,0.014897,2.40742,1.5,0.2237,89.65,26,5529,4.457,0,0.925,0.893,14.05,14.567,14.027,13.828,13.758,12.873,12.497,12.427
FALSE POSITIVE,11.7761073,142.70558,0.829,2.829,2.81E+02,0.017456,0.90292,1.31,0.0908,87.47,97,5096,4.618,-0.4,0.689,0.719,15.005,15.713,14.951,14.702,14.556,13.507,12.997,12.929
FALSE POSITIVE,29.7123181,151.5603,1.202,70.3707,3.85E+02,0.221351,0.00006,46.43,0.2049,31.46,47,6440,3.984,-0.14,1.921,1.299,11.549,11.826,11.495,11.43,11.448,10.555,10.328,10.315
CONFIRMED,20.6180348,145.51232,0.155,3.267,7.70E+02,0.024893,5.1879,1.57,0.1228,89.82,50,3757,4.681,0.48,0.576,0.581,15.254,16.625,15.335,14.667,14.261,13.089,12.399,12.29
CONFIRMED,19.9401211,142.34849,0.862,4.283,7.59E+02,0.029059,0.3806,2.42,0.1357,87.53,67,5623,4.596,-0.4,0.763,0.853,15.922,16.467,15.878,15.689,15.587,14.644,14.284,14.191
CONFIRMED,22.2420032,144.72364,0.897,7.532,6.35E+01,0.008612,0.04377,2.04,0.1655,85.08,61,5979,3.854,-0.12,2.164,1.219,12.816,13.173,12.757,12.663,12.613,11.678,11.438,11.383
CONFIRMED,3.88148385,135.12314,0.252,2.679,3.63E+01,0.005515,1.57925,0.59,0.0488,88.66,348,5854,4.469,0.06,0.979,1.03,12.32,12.745,12.263,12.138,,10.986,10.775,10.666
CONFIRMED,0.577369336,132.425795,0.032,1.0852,4.00E+02,0.01816,4.14027,1.42,0.0125,89.56,1850,5255,4.617,-0.34,0.716,0.776,14.859,15.505,14.806,14.582,14.46,13.383,12.877,12.799
CONFIRMED,12.72037026,178.528297,0.787,2.7306,1.18E+03,0.03461,1.6008,4.75,0.1101,88.12,111,6267,4.28,-0.06,1.258,1.097,10.734,11.293,10.778,,,9.764,9.532,9.493
CONFIRMED,11.96407399,133.15804,0.903,4.526,7.84E+02,0.030548,0.1344,3.21,0.0997,84.85,52,5903,4.437,-0.26,0.961,0.922,15.361,15.855,15.326,15.15,15.093,14.189,13.844,13.836
FALSE POSITIVE,2.493237866,132.63633,0.975,2.644,2.59E+02,0.021013,0.04224,9.48,0.04,66.07,431,5002,3.344,-0.06,4.131,1.375,13.962,14.832,13.918,13.589,13.395,12.299,11.738,11.617
CONFIRMED,12.90467523,144.32009,0.553,3.28,4.12E+02,0.018884,1.93239,1.49,0.0962,88.77,100,4513,4.574,0.16,0.722,0.712,15.07,15.97,15.009,14.684,14.459,13.367,12.807,12.674
CONFIRMED,68.8861017,160.29958,0.241,5.925,1.44E+02,0.010983,2.64356,1.47,0.3133,89.84,21,5753,4.2,-0.28,1.222,0.863,12.464,12.862,12.427,12.293,12.262,11.387,11.065,11.016
CONFIRMED,9.99115241,134.39335,0.691,2.657,3.92E+02,0.019277,1.89512,1.68,0.0833,88.16,102,4838,4.524,0.18,0.796,0.771,15.311,16.015,15.236,15.01,14.853,13.866,13.288,13.292
CANDIDATE,4.267961416,134.07063,0.255,1.3427,1.27E+02,0.010492,13.92204,1.42,0.0524,89.39,313,6395,4.275,-0.28,1.237,1.048,13.047,13.413,12.985,12.89,,11.969,11.766,11.707
CONFIRMED,36.292017,132.17691,0.002,8.198,3.75E+02,0.01758,0.58571,3.1,0.2226,90,36,5843,4.069,0.14,1.615,1.115,15.251,15.709,15.2,15.054,14.943,14.036,13.706,13.692
FALSE POSITIVE,0.925589891,169.69275,0.616,1.967,4.01E+02,0.018924,0.60784,50.6,0.0181,78.23,1443,4094,1.627,-0.04,24.488,0.925,10.795,13.26,11.348,,,8.932,8.134,7.938
CONFIRMED,17.25121397,149.886479,0.749,2.0371,2.05E+03,0.044983,6.65796,2.64,0.1063,89.09,73,3879,4.708,-0.12,0.537,0.537,15.473,16.84,15.434,14.887,14.601,13.408,12.746,12.63
FALSE POSITIVE,1.867281146,132.07744,1.252,7.495,7.01E+02,0.278578,0.0135,31.18,0.0306,22.51,611,6117,4.457,-0.02,1.025,1.095,15.6,16.084,15.524,15.393,15.269,14.401,14.105,14.05
CONFIRMED,9.30991834,136.39785,0.551,3.455,1.15E+02,0.010094,1.15808,1.21,0.0866,88.19,145,5806,4.353,0.06,1.101,0.996,13.799,14.203,13.724,13.626,13.578,12.659,12.395,12.336
CANDIDATE,18.1209388,134.17616,0.108,3.781,5.04E+02,0.019889,2.95026,1.68,0.1228,89.83,48,4905,4.536,0.02,0.774,0.75,15.486,16.343,15.415,15.118,14.927,13.915,13.287,13.218
CONFIRMED,3.23941775,133.98383,0.386,2.569,7.74E+01,0.008203,1.31343,0.77,0.0419,87.54,409,6075,4.541,-0.46,0.858,0.934,13.658,14.049,13.612,13.49,13.438,12.625,12.316,12.27
CANDIDATE,3.98864999,134.8296,0.355,3.516,9.42E+01,0.008903,0.6581,1.15,0.0492,87.52,341,5692,4.288,0.16,1.188,0.997,15.016,15.475,14.968,14.82,14.79,13.857,13.488,13.483
CONFIRMED,2.524017517,133.85946,0.077,1.1968,3.03E+02,0.01576,12.9272,1.5,0.0344,89.73,524,5420,4.487,-0.06,0.871,0.849,15.55,16.222,15.513,15.261,15.15,14.217,13.792,13.635
CANDIDATE,25.1123362,146.3464,0.007,7.922,3.99E+02,0.018288,0.45015,2.22,0.1707,89.98,19,6133,4.367,-0.06,1.112,1.049,15.527,15.986,15.489,15.33,15.317,14.402,14.073,14.017
CANDIDATE,2.121023807,170.85004,1.0045,0.3673,2.64E+02,0.047334,9.48417,5.75,0.0329,85.37,,6133,4.367,-0.06,1.112,1.049,15.527,15.986,15.489,15.33,15.317,14.402,14.073,14.017
CANDIDATE,3.55557922,132.75203,0.269,3.24,6.04E+01,0.007131,0.81256,0.84,0.0445,88.11,383,5839,4.337,-0.16,1.082,0.926,13.845,14.346,13.8,13.63,13.565,12.713,12.329,12.306
CONFIRMED,31.2012202,140.07042,0.714,4.077,3.60E+02,0.018653,1.48794,1.47,0.1734,89.04,44,4513,4.574,0.16,0.722,0.712,15.07,15.97,15.009,14.684,14.459,13.367,12.807,12.674
CONFIRMED,22.5968256,140.42654,0.062,6.179,1.43E+02,0.010811,0.8302,1.3,0.1505,89.87,60,5610,4.301,-0.04,1.104,0.889,13.584,14.036,13.54,13.39,13.324,12.419,12.082,12.038
CONFIRMED,45.3486381,142.25049,0.847,4.858,1.63E+02,0.013356,0.57668,1.61,0.2395,88.78,31,5610,4.301,-0.04,1.104,0.889,13.584,14.036,13.54,13.39,13.324,12.419,12.082,12.038
CONFIRMED,5.25419589,133.72952,0.007,2.9878,4.62E+02,0.019706,1.76644,2.12,0.0602,89.97,212,6123,4.472,-0.14,0.987,1.053,15.659,16.135,15.612,15.455,15.365,14.501,14.125,14.032
CONFIRMED,5.90608902,131.56096,0.025,2.409,3.41E+02,0.016855,3.74625,1.77,0.065,89.93,226,5966,4.493,-0.02,0.961,1.049,15.466,15.962,15.407,15.254,15.186,14.216,13.903,13.835
CONFIRMED,13.81504449,181.12621,0.868,2.3244,1.03E+03,0.034399,1.66032,1.91,0.0903,88.06,81,3732,4.736,0.02,0.509,0.515,14.216,15.689,14.291,13.585,13.168,12.009,11.342,11.124
CONFIRMED,12.4128518,140.35679,0.711,4.298,1.08E+02,0.010188,0.48939,1.5,0.1063,87.43,109,5945,4.196,-0.02,1.346,1.039,13.539,13.876,13.492,13.395,13.363,12.486,12.284,12.234
CONFIRMED,3.92453009,132.40179,0.112,3.691,4.64E+02,0.019616,0.69061,1.82,0.0478,89.22,289,5776,4.554,-0.18,0.849,0.939,15.708,16.25,15.659,15.475,15.386,14.461,14.074,14.062
CONFIRMED,11.60653061,134.41637,0.024,2.194,7.72E+02,0.024534,9.95871,1.88,0.0885,89.97,118,4703,4.582,-0.14,0.701,0.686,15.701,16.481,15.646,15.366,15.191,14.175,13.66,13.585
CONFIRMED,2.66831274,131.68823,0.333,2.4141,2.66E+02,0.015027,1.42361,1.48,0.0376,87.65,503,5806,4.528,-0.04,0.899,0.996,15.553,16.054,15.458,15.338,15.219,14.289,13.851,13.848
FALSE POSITIVE,2.9322509,133.7648,0.457,2.931,1.81E+02,0.0126,0.73551,1.33,0.0407,86.22,364,6106,4.487,-0.16,0.966,1.043,15.662,16.116,15.596,15.467,15.405,14.468,14.127,13.949
CONFIRMED,23.4772553,145.3641,0.013,6.735,1.41E+02,0.010955,0.66996,1.34,0.1633,89.97,56,6384,4.361,-0.24,1.121,1.046,13.973,14.329,13.924,13.82,13.776,12.901,12.662,12.62
CONFIRMED,66.5576728,181.3241,0.254,10.532,2.14E+02,0.013335,0.45399,4.96,0.38,89.69,22,5734,3.591,0.26,3.405,1.648,14.074,14.456,14.005,13.91,13.865,12.966,12.717,12.602
FALSE POSITIVE,2.01948607,132.9238,0.977,5.248,2.75E+02,0.020811,0.01068,2.15,0.0311,42.29,561,5884,4.481,-0.1,0.944,0.985,15.415,15.953,15.376,15.184,15.117,14.169,13.848,13.82
FALSE POSITIVE,3.04468229,132.464,0.623,5.951,7.14E+01,0.008074,0.06636,0.86,0.0383,78.74,447,5575,4.363,-0.24,0.98,0.81,14.028,14.601,13.975,13.782,13.658,12.715,12.311,12.268
FALSE POSITIVE,15.05028313,141.53522,0.3125,1.848,6.15E+02,0.022798,18.58517,2.46,0.1233,89.95,86,5887,4.49,0.21,0.989,1.102,15.612,16.152,15.554,15.38,15.323,14.468,14.059,13.943
CONFIRMED,2.455240626,170.821762,0.144,1.72722,3.69E+04,0.170837,6.33298,10.6,0.0298,89.35,546,3793,4.697,0.32,0.568,0.587,15.979,17.414,16.106,15.364,15.001,13.749,13.077,12.892
CONFIRMED,9.08233411,139.65489,0.262,2.008,2.97E+02,0.015633,8.94101,1.35,0.0815,89.56,298,5354,4.587,-0.08,0.788,0.884,15.4,16.034,15.318,15.129,14.969,13.963,13.535,13.469
FALSE POSITIVE,0.790539912,131.87702,0.008,1.0567,2.77E+02,0.014827,5.99701,1.24,0.0152,89.92,1690,4791,4.541,0.1,0.767,0.747,14.864,15.735,14.786,14.49,14.313,13.192,12.664,12.606
FALSE POSITIVE,1.705782214,133.15607,0.709,1.007,2.78E+02,0.016508,5.51609,1.82,0.0269,85.7,1560,5387,4.38,0.18,1.009,0.89,15.272,15.956,15.205,14.978,14.861,13.916,13.424,13.378
FALSE POSITIVE,0.532086296,131.9134,1.199,4.023,4.96E+02,0.222839,0.12529,16.99,0.0118,13.57,2515,5271,4.636,-0.4,0.698,0.773,15.397,16.032,15.344,15.125,15.007,14.011,13.569,13.493
CONFIRMED,47.7052566,146.3164,0.918,5.959,1.16E+03,0.039415,0.22094,2.89,0.2253,88.24,17,4551,4.609,-0.14,0.672,0.669,16.22,17.024,16.188,15.874,,14.117,13.529,13.434
CONFIRMED,6.238535444,171.706325,0.008,3.5255,4.02E+02,0.018412,1.27172,2.53,0.0685,89.97,210,6267,4.28,-0.06,1.258,1.097,10.734,11.293,10.778,,,9.764,9.532,9.493
CONFIRMED,86.829519,189.26162,0.953,7.464,7.51E+02,0.0332,0.11306,1.68,0.3013,88.47,14,3576,4.791,0.16,0.463,0.482,15.474,17.021,15.613,14.96,14.511,13.228,12.573,12.374
CONFIRMED,9.95667035,136.5827,0.949,3.534,5.87E+02,0.028013,0.11923,3.41,0.0921,83.62,54,6165,4.365,-0.08,1.115,1.048,15.309,15.753,15.265,15.118,15.061,14.232,13.875,13.915
CONFIRMED,10.41728722,137.45784,0.12,4.125,2.10E+02,0.013087,1.2762,1.64,0.0914,89.65,130,5557,4.288,0.14,1.151,0.936,14.746,15.249,14.691,14.53,14.459,13.55,13.238,13.175
CONFIRMED,0.984941669,133.31801,0.045,1.9724,8.14E+01,0.008209,1.14505,1.49,0.0201,89.33,1087,5825,4.046,0.14,1.662,1.121,13.835,14.238,13.778,13.663,13.624,12.763,12.388,12.382
